"Story","Title","Result","Date","Stability","Duration (s)"
"HU-002 PARKING COST CALCULATOR Short parking","Validate the parking price 12","SUCCESS","2021-08-28T18:37:48.225-05:00[America/Bogota]","0.0","27.74"
"CP-001 PARKING COST CALCULATOR Valet","Validate the parking price 12","SUCCESS","2021-08-28T18:36:04.558-05:00[America/Bogota]","0.0","90.73"
